usgs_id,gage_name,latitude,longitude,nwm_feature_id,geoglows_river_id,verification_status
USGS-02110400,"BUCK CREEK NEAR LONGS, SC",33.953505,-78.71973988,,,Unverified
USGS-021622847,"SLICKING CREEK NEAR ROCKY BOTTOM, SC",35.06777778,-82.6980556,,,Unverified
USGS-021623957,"BIG FALLS CREEK NEAR TIGERVILLE, SC",35.17,-82.4027778,,,Unverified
USGS-02169505,"ROCKY BRANCH AT PICKENS ST AT COLUMBIA, SC",33.9948774,-81.0237029,,,Unverified
USGS-06405800,"BEAR GULCH NEAR HAYWARD, SD",43.79193375,-103.3474139,,,Unverified
USGS-08061551,"E Fk Trinity Rv blw Lk Ray Hubbard nr Forney, TX",32.7986111,-96.4941667,,,Unverified
USGS-08131600,"Tom Green County WCID No. 1 Canal nr San Angelo,TX",31.4162804,-100.3945511,,,Unverified
USGS-09267500,"MOSBY CANAL NEAR LAPOINT, UT",40.6082881,-109.8840393,,,Unverified
USGS-0164578734,"SNAKEDEN BRANCH ABOVE LAKE AUDUBON AT RESTON, VA",38.9296611,-77.34113889,,,Unverified
USGS-0164579522,"THE GLADE NEAR HOWLAND DRIVE AT RESTON, VA",38.9256,-77.32933889,,,Unverified
USGS-0204309906,"CONVEYANCE CHAN AT RAMSGATE LN NR GREAT BRIDGE, VA",36.69064444,-76.2123167,,,Unverified
USGS-12202450,"SILVER BEACH CR AT MAYNARD PL AT BELLINGHAM, WA",48.7692772,-122.4065547,,,Unverified
USGS-040871473,"WILSON PARK CREEK AT GMIA INFALL AT MILWAUKEE, WI",42.9457222,-87.8862222,,,Unverified
USGS-040871475,"WILSON PARK CREEK @ GMIA OUTFALL 7 @ MILWAUKEE,WI",42.95702778,-87.9073056,,,Unverified
USGS-040871476,HOLMES AVE CRK TRIB @ GMIA OUTFALL 1 AT MILWAUKEE,42.94516667,-87.9110556,,,Unverified
USGS-054279465,"S FORK PHEASANT BRANCH @ DEMING WAY @ MIDDLETON,WI",43.09860617,-89.52151,,,Unverified
